Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"QoS Aware Virtual Network Embedding in SDN-Based Metro Optical Network","Advances in Network-Based Information Systems","","","","10.1007/978-3-319-65521-5_35","Faisal ZamanAbdallah JarrayAhmed Karmouch","2018","http://link.springer.com/chapter/10.1007/978-3-319-65521-5_35","Chapter"
"On Using Cognition for Anomaly Detection in SDN","EVOLVE - A Bridge between Probability, Set Oriented Numerics, and Evolutionary Computation VI","","","","10.1007/978-3-319-69710-9_5","Emilia TantarAlexandru-Adrian TantarMiroslaw KantorThomas Engel","2018","http://link.springer.com/chapter/10.1007/978-3-319-69710-9_5","Chapter"
"New SDN-Oriented Authentication and Access Control Mechanism","Computer Networks","","","","10.1007/978-3-319-92459-5_7","Fahad NifeZbigniew Kotulski","2018","http://link.springer.com/chapter/10.1007/978-3-319-92459-5_7","Chapter"
"Secure Network Coding for SDN-Based Mobile Small Cells","Broadband Communications, Networks, and Systems","","","","10.1007/978-3-030-05195-2_34","Vipindev AdatIlias PolitisChristos TseliosStavros Kotsopoulos","2019","http://link.springer.com/chapter/10.1007/978-3-030-05195-2_34","Chapter"
"Resource Management in SDN-VANETs Using Fuzzy Logic: Effect of Average Processing Capability per Neighbor Vehicle on Management of Cloud-Fog-Edge Resources","Advances in Internet, Data and Web Technologies","","","","10.1007/978-3-030-70639-5_15","Ermioni QafzeziKevin BylykbashiPhudit AmpriritMakoto IkedaLeonard BarolliMakoto Takizawa","2021","http://link.springer.com/chapter/10.1007/978-3-030-70639-5_15","Chapter"
"FlowMaster: Early Eviction of Dead Flow on SDN Switches","Distributed Computing and Networking","","","","10.1007/978-3-642-45249-9_32","Kalapriya KannanSubhasis Banerjee","2014","http://link.springer.com/chapter/10.1007/978-3-642-45249-9_32","Chapter"
"A Network Traffic Measurement Approach in Cloud-Edge SDN Networks","Simulation Tools and Techniques","","","","10.1007/978-3-030-72792-5_19","Liuwei HuoDingde JiangLisha Cheng","2021","http://link.springer.com/chapter/10.1007/978-3-030-72792-5_19","Chapter"
"SDN-Based Optimization Model of Virtual Machine Live Migration Over Layer 2 Networks","Advances in Computer Communication and Computational Sciences","","","","10.1007/978-981-13-0344-9_40","Hongyan CuiBo ZhangYuyang ChenTao YuZongguo XiaYunjie Liu","2019","http://link.springer.com/chapter/10.1007/978-981-13-0344-9_40","Chapter"
"On Cost Efficient Dataflow Computing Program Deployment in SDN Managed Distributed Computing Environment","Collaborative Computing: Networking, Applications and Worksharing","","","","10.1007/978-3-030-00916-8_3","Yating ZhangYuepeng LiLong ZhengDeze Zeng","2018","http://link.springer.com/chapter/10.1007/978-3-030-00916-8_3","Chapter"
"Q-Routing Using Multiple QoS Metrics in SDN","Advances in Computational Intelligence Systems","","","","10.1007/978-3-030-87094-2_28","Douglas Harewood-GillTrevor MartinReza Nejabati","2022","http://link.springer.com/chapter/10.1007/978-3-030-87094-2_28","Chapter"
"SDN-Assisted Network-Based Mitigation of Slow DDoS Attacks","Security and Privacy in Communication Networks","","","","10.1007/978-3-030-01704-0_6","Thomas LukasederLisa MaileBenjamin ErbFrank Kargl","2018","http://link.springer.com/chapter/10.1007/978-3-030-01704-0_6","Chapter"
"Survey on Enabling Network Slicing Based on SDN/NFV","International Conference on Information Systems and Intelligent Applications","","","","10.1007/978-3-031-16865-9_59","Suadad S. MahdiAlharith A. Abdullah","2023","http://link.springer.com/chapter/10.1007/978-3-031-16865-9_59","Chapter"
"An Effective End-To-End Resource Elastic Allocation Mechanism for SDN Based on Deep Learning","Signal and Information Processing, Networking and Computers","","","","10.1007/978-981-19-4775-9_162","Run MaXiaobo LiShuang WuGuoli FengShengjie WangXinnan HaPeng Lin","2022","http://link.springer.com/chapter/10.1007/978-981-19-4775-9_162","Chapter"
"Identifying Network Congestion on SDN-Based Data Centers with Supervised Classification","Advanced Information Networking and Applications","","","","10.1007/978-3-031-28451-9_20","Filipe da Silva de OliveiraMaurício Aronne PillonCharles Christian MiersGuilherme Piêgas Koslovski","2023","http://link.springer.com/chapter/10.1007/978-3-031-28451-9_20","Chapter"
"Resource Management in SDN-VANETs: Coordination of Cloud-Fog-Edge Resources Using Fuzzy Logic","Advances in Internet, Data and Web Technologies","","","","10.1007/978-3-030-39746-3_13","Ermioni QafzeziKevin BylykbashiTomoyuki IshidaKeita MatsuoLeonard BarolliMakoto Takizawa","2020","http://link.springer.com/chapter/10.1007/978-3-030-39746-3_13","Chapter"
"An Optimistic Approach for Managing the Handover Latency by Using Dynamic Data in Software Defined Networks (SDN)","ICT Analysis and Applications","","","","10.1007/978-981-16-5655-2_59","Krishna ShahKishor Kolhe","2022","http://link.springer.com/chapter/10.1007/978-981-16-5655-2_59","Chapter"
"Fault Recovery Algorithm Based on SDN Network","Human Centered Computing","","","","10.1007/978-3-319-74521-3_37","Yi ZhangYifei WeiRuqin HuangBo GuYue MaMei Song","2018","http://link.springer.com/chapter/10.1007/978-3-319-74521-3_37","Chapter"
"Efficient Load Balancing and Multicasting for Uncertain-Source SDN: Real-Time Link-Cost Monitoring","Software Engineering and Algorithms in Intelligent Systems","","","","10.1007/978-3-319-91186-1_19","Thabo SemongKun Xie","2019","http://link.springer.com/chapter/10.1007/978-3-319-91186-1_19","Chapter"
"DDoS Attack Detection in SDN Using CUSUM","Proceedings of International Conference on Computational Intelligence and Data Engineering","","","","10.1007/978-981-15-8767-2_26","P. V. ShaliniV. RadhaSriram G. Sanjeevi","2021","http://link.springer.com/chapter/10.1007/978-981-15-8767-2_26","Chapter"
"BQSV: Protecting SDN Controller Cluster’s Network Topology View Based on Byzantine Quorum System with Verification Function","Cyberspace Safety and Security","","","","10.1007/978-3-030-37337-5_7","Yifang ZhiLi YangShui YuJianfeng Ma","2019","http://link.springer.com/chapter/10.1007/978-3-030-37337-5_7","Chapter"
"SDN-Based Source Routing for Scalable Service Chaining in Datacenters","Wired/Wireless Internet Communications","","","","10.1007/978-3-319-33936-8_6","Ahmed AbujodaHadi Razzaghi KouchaksaraeiPanagiotis Papadimitriou","2016","http://link.springer.com/chapter/10.1007/978-3-319-33936-8_6","Chapter"
"Transfer of Large Volume Data over Internet with Parallel Data Links and SDN","Advances in Swarm and Computational Intelligence","","","","10.1007/978-3-319-20469-7_49","S. E. KhoruzhnikovV. A. GrudininO. L. SadovA. Y. ShevelA. B. Kairkanov","2015","http://link.springer.com/chapter/10.1007/978-3-319-20469-7_49","Chapter"
"VirtuWind – An SDN- and NFV-Based Architecture for Softwarized Industrial Networks","Measurement, Modelling and Evaluation of Computing Systems","","","","10.1007/978-3-319-74947-1_17","Ermin SakicVivek KulkarniVasileios TheodorouAnton MatsiukSimon KuenzerNikolaos E. PetroulakisKonstantinos Fysarakis","2018","http://link.springer.com/chapter/10.1007/978-3-319-74947-1_17","Chapter"
"Emerging Network Technologies for Digital Transformation: 5G/6G, IoT, SDN/IBN, Cloud Computing, and Blockchain","Emerging Networking in the Digital Transformation Age","","","","10.1007/978-3-031-24963-1_1","Mykola BeshleyMikhailo KlymashIlona SchermHalyna BeshleyYuriy Shkoropad","2023","http://link.springer.com/chapter/10.1007/978-3-031-24963-1_1","Chapter"
"Coordinator Controller Election Algorithm to Provide Failsafe Through Load Balancing in Distributed SDN Control Plane","Computing Science, Communication and Security","","","","10.1007/978-981-15-6648-6_19","Gaurang LakhaniAmit Kothari","2020","http://link.springer.com/chapter/10.1007/978-981-15-6648-6_19","Chapter"
"Lightweight and Fast Coordinated Update Algorithm for Hybrid SDN Networks","Recent Trends in Intelligent Computing, Communication and Devices","","","","10.1007/978-981-13-9406-5_69","Changhe YuJulong LanYuxiang Hu","2020","http://link.springer.com/chapter/10.1007/978-981-13-9406-5_69","Chapter"
"Exploring Functional Slicing in the Design of Distributed SDN Controllers","Communication Systems and Networks","","","","10.1007/978-3-319-67235-9_12","Yiyang ChangAshkan RezaeiBalajee VamananJahangir HasanSanjay RaoT. N. Vijaykumar","2017","http://link.springer.com/chapter/10.1007/978-3-319-67235-9_12","Chapter"
"Performance Analysis of SDN-Based Crowdsourcing Cloud Architecture","Applications of Advanced Computing in Systems","","","","10.1007/978-981-33-4862-2_13","Subhankar SenapatiSubham Kumar SoySutanu BhattacharyaC. MisraR. K. Barik","2021","http://link.springer.com/chapter/10.1007/978-981-33-4862-2_13","Chapter"
"A System Architecture for Heterogeneous Time- Sensitive Networking Based on SDN","Advanced Information Networking and Applications","","","","10.1007/978-3-031-28694-0_37","Hongrui Nie","2023","http://link.springer.com/chapter/10.1007/978-3-031-28694-0_37","Chapter"
"DoSSec: A Reputation-Based DoS Mitigation Mechanism on SDN","Advanced Information Networking and Applications","","","","10.1007/978-3-030-75075-6_62","Ranyelson N. CarvalhoLucas R. CostaJacir L. BordimEduardo Alchieri","2021","http://link.springer.com/chapter/10.1007/978-3-030-75075-6_62","Chapter"
"Improving Attack Graph Scalability for the Cloud Through SDN-Based Decomposition and Parallel Processing","Ubiquitous Networking","","","","10.1007/978-3-319-68179-5_17","Oussama MjihilDijiang HuangAbdelkrim Haqiq","2017","http://link.springer.com/chapter/10.1007/978-3-319-68179-5_17","Chapter"
"Optimizing Concurrent Evacuation Transfers for Geo-Distributed Datacenters in SDN","Algorithms and Architectures for Parallel Processing","","","","10.1007/978-3-319-65482-9_7","Xiaole LiHua WangShanwen YiXibo YaoFangjin ZhuLinbo Zhai","2017","http://link.springer.com/chapter/10.1007/978-3-319-65482-9_7","Chapter"
"An SDN Implemented Adaptive Load Balancing Scheme for Mobile Networks","Distributed Computing and Intelligent Technology","","","","10.1007/978-3-030-94876-4_8","Madhukrishna PriyadarsiniPadmalochan Bera","2022","http://link.springer.com/chapter/10.1007/978-3-030-94876-4_8","Chapter"
"Exploiting SDN Approach to Tackle Cloud Computing Security Issues in the ATC Scenario","Dependable Computing","","","","10.1007/978-3-642-38789-0_5","Gabriella CarrozzaVittorio ManettiAntonio MarottaRoberto CanonicoStefano Avallone","2013","http://link.springer.com/chapter/10.1007/978-3-642-38789-0_5","Chapter"
"DDoS Mitigation in SDN Using MTD and Behavior-Based Forwarding","Innovations in Electronics and Communication Engineering","","","","10.1007/978-981-16-8512-5_40","M. Udhaya PrasathB. SriramP. PrakashkumarV. Vetriselvi","2022","http://link.springer.com/chapter/10.1007/978-981-16-8512-5_40","Chapter"
"Modeling of Routing as Resource Distribution in SDN","Internet of Things, Smart Spaces, and Next Generation Networks and Systems","","","","10.1007/978-3-030-30859-9_38","Alexander ParamonovRegina Shamilova","2019","http://link.springer.com/chapter/10.1007/978-3-030-30859-9_38","Chapter"
"Overview of Data Center Link Load Balancing Technology Based on SDN","IoT Based Control Networks and Intelligent Systems","","","","10.1007/978-981-19-5845-8_41","Feifan HaoShan JingChuan Zhao","2023","http://link.springer.com/chapter/10.1007/978-981-19-5845-8_41","Chapter"
"Detection of DDoS Attack Using SDN in IoT: A Survey","Intelligent Communication Technologies and Virtual Mobile Networks","","","","10.1007/978-3-030-28364-3_44","P. J. Beslin PajilaE. Golden Julie","2020","http://link.springer.com/chapter/10.1007/978-3-030-28364-3_44","Chapter"
"Joint Fronthaul Optimization and SDN Controller Placement in Dynamic 5G Networks","Optical Network Design and Modeling","","","","10.1007/978-3-030-38085-4_16","Victoria-Maria AlevizakiMarkos AnastasopoulosAnna TzanakakiDimitra Simeonidou","2020","http://link.springer.com/chapter/10.1007/978-3-030-38085-4_16","Chapter"
"Dynamic Routing and Bandwidth Provision Based on Reinforcement Learning in SDN Networks","Advanced Information Networking and Applications","","","","10.1007/978-3-030-44041-1_1","Yi-Hsun LuFang-Yie Leu","2020","http://link.springer.com/chapter/10.1007/978-3-030-44041-1_1","Chapter"
"Improved TCP Congestion Control Algorithm for LTE SDN Networks","Ambient Communications and Computer Systems","","","","10.1007/978-981-10-7386-1_21","Pooja ChahalKavita Rathi","2018","http://link.springer.com/chapter/10.1007/978-981-10-7386-1_21","Chapter"
"SDN and NFV Dynamic Operation of LTE EPC Gateways for Time-Varying Traffic Patterns","Mobile Networks and Management","","","","10.1007/978-3-319-16292-8_5","Arsany BastaAndreas BlenkMarco HoffmannHans Jochen MorperKlaus HoffmannWolfgang Kellerer","2015","http://link.springer.com/chapter/10.1007/978-3-319-16292-8_5","Chapter"
"Game Theory Based Network Partitioning Approaches for Controller Placement in SDN","Communication Systems and Networks","","","","10.1007/978-3-030-10659-1_11","Bala Prakasa Rao KilliEllore Akhil ReddySeela Veerabhadreswara Rao","2019","http://link.springer.com/chapter/10.1007/978-3-030-10659-1_11","Chapter"
"SDN Controller Scheduling Decision Mechanism Based on Mimic Defense Affects Safety","Simulation Tools and Techniques","","","","10.1007/978-3-030-72795-6_22","Desheng ZhangLei Chen","2021","http://link.springer.com/chapter/10.1007/978-3-030-72795-6_22","Chapter"
"SDN-Based QoS Aware Network Service Provisioning","Mobile, Secure, and Programmable Networking","","","","10.1007/978-3-319-25744-0_11","Cosmin CabaJosé Soler","2015","http://link.springer.com/chapter/10.1007/978-3-319-25744-0_11","Chapter"
"Authentication for Resilience: The Case of SDN (Transcript of Discussion)","Security Protocols XXI","","","","10.1007/978-3-642-41717-7_7","Dongting Yu","2013","http://link.springer.com/chapter/10.1007/978-3-642-41717-7_7","Chapter"
"DroPPPP: A P4 Approach to Mitigating DoS Attacks in SDN","Information Security Applications","","","","10.1007/978-3-030-39303-8_5","Goksel SimsekHakan BostanAlper Kaan SaricaEgemen SarikayaAlperen KelesPelin AnginHande AlemdarErtan Onur","2020","http://link.springer.com/chapter/10.1007/978-3-030-39303-8_5","Chapter"
"A SDN-Based Network Traffic Estimating Algorithm in Power Telecommunication Network","Simulation Tools and Techniques","","","","10.1007/978-3-030-32216-8_9","Renxiang HuangHuibin JiaXing Huang","2019","http://link.springer.com/chapter/10.1007/978-3-030-32216-8_9","Chapter"
"Evaluation of SLA Negotiation for Personalized SDN Service Delivery","Advanced Information Networking and Applications","","","","10.1007/978-3-030-44041-1_52","Shuraia KhanFarookh Khadeer Hussain","2020","http://link.springer.com/chapter/10.1007/978-3-030-44041-1_52","Chapter"
"Know Your Enemy: Stealth Configuration-Information Gathering in SDN","Green, Pervasive, and Cloud Computing","","","","10.1007/978-3-319-57186-7_29","Mauro ContiFabio De GaspariLuigi V. Mancini","2017","http://link.springer.com/chapter/10.1007/978-3-319-57186-7_29","Chapter"
"A Fuzzy-Based System for Assessment of QoS of V2V Communication Links in SDN-VANETs","Advances in Internet, Data & Web Technologies","","","","10.1007/978-3-030-95903-6_17","Ermioni QafzeziKevin BylykbashiPhudit AmpriritMakoto IkedaKeita MatsuoLeonard Barolli","2022","http://link.springer.com/chapter/10.1007/978-3-030-95903-6_17","Chapter"
"Secure East-West Communication to Approve Service Access Continuity for Mobile Devices in a Distributed SDN","Computational Science and Its Applications – ICCSA 2022","","","","10.1007/978-3-031-10522-7_20","Maroua MoatemriHamdi EltaiefAli El KamelHabib Youssef","2022","http://link.springer.com/chapter/10.1007/978-3-031-10522-7_20","Chapter"
"Loose Management for Multi-controller in SDN","Testbeds and Research Infrastructures for the Development of Networks and Communities","","","","10.1007/978-3-319-49580-4_1","Ligang DongJing ZhouTijie XuDandan YangYing LiWeiming Wang","2017","http://link.springer.com/chapter/10.1007/978-3-319-49580-4_1","Chapter"
"A Hybrid Flow/Packet Level Model for Predictive Service Function Chain Selection in SDN","Performance Evaluation Methodologies and Tools","","","","10.1007/978-3-030-92511-6_6","Frank WetzelsHans van den BergRob van der Mei","2021","http://link.springer.com/chapter/10.1007/978-3-030-92511-6_6","Chapter"
"Disrupting SDN via the Data Plane: A Low-Rate Flow Table Overflow Attack","Security and Privacy in Communication Networks","","","","10.1007/978-3-319-78813-5_18","Jiahao CaoMingwei XuQi LiKun SunYuan YangJing Zheng","2018","http://link.springer.com/chapter/10.1007/978-3-319-78813-5_18","Chapter"
"ESD-WSN: An Efficient SDN-Based Wireless Sensor Network Architecture for IoT Applications","Algorithms and Architectures for Parallel Processing","","","","10.1007/978-3-319-65482-9_59","Zhiwei ZhangZhiyong ZhangRui WangZhiping JiaHaijun LeiXiaojun Cai","2017","http://link.springer.com/chapter/10.1007/978-3-319-65482-9_59","Chapter"
"Dynamic Management of Forwarding Rules in a T-SDN Architecture with Energy and Bandwidth Constraints","Ad-Hoc, Mobile, and Wireless Networks","","","","10.1007/978-3-030-61746-2_1","Antonio PetrosinoGiancarlo SciddurloGiovanni GriecoAwais Aziz ShahGiuseppe PiroLuigi Alfredo GriecoGennaro Boggia","2020","http://link.springer.com/chapter/10.1007/978-3-030-61746-2_1","Chapter"
"IoT-Based DDoS Attack Detection and Mitigation Using the Edge of SDN","Cyberspace Safety and Security","","","","10.1007/978-3-030-37352-8_1","Yinqi YangJian WangBaoqin ZhaiJiqiang Liu","2019","http://link.springer.com/chapter/10.1007/978-3-030-37352-8_1","Chapter"
"An SDN-Based Secure Mobility Model for UAV-Ground Communications","Mobile Internet Security","","","","10.1007/978-981-13-3732-1_14","Rajesh KumarMohd. Abuzar SayeedVishal SharmaIlsun You","2019","http://link.springer.com/chapter/10.1007/978-981-13-3732-1_14","Chapter"
"Construction of SDN Network Management Model Based on Virtual Technology Application","Proceeding of 2021 International Conference on Wireless Communications, Networking and Applications","","","","10.1007/978-981-19-2456-9_28","Zhong ShuBoer DengLuo TianFen DuanXinyu SunLiangzhe ChenYue Luo","2022","http://link.springer.com/chapter/10.1007/978-981-19-2456-9_28","Chapter"
"Protecting the Data Plane of SDN From Malicious Flow Entries Based on P4","Security and Privacy in Digital Economy","","","","10.1007/978-981-15-9129-7_4","Yifang ZhiLi YangGaolei YangYuehong Zhang","2020","http://link.springer.com/chapter/10.1007/978-981-15-9129-7_4","Chapter"
"A Proposed Approach to DDoS Attacks Detection on SDN Using Machine Learning Technique","Innovations in Cyber Physical Systems","","","","10.1007/978-981-16-4149-7_6","Saumitra ChattopadhyayAshok Kumar Sahoo","2021","http://link.springer.com/chapter/10.1007/978-981-16-4149-7_6","Chapter"
"Incremental SDN Deployment to Achieve Load Balance in ISP Networks","Algorithmic Aspects in Information and Management","","","","10.1007/978-3-031-16081-3_24","Yunlong ChengHao ZhouXiaofeng GaoJiaqi ZhengGuihai Chen","2022","http://link.springer.com/chapter/10.1007/978-3-031-16081-3_24","Chapter"
"Configuration Solution for SDN-Based Networks Interacting with Industrial Applications","Kommunikation und Bildverarbeitung in der Automation","","","","10.1007/978-3-662-64283-2_11","Thomas KobzanImmanuel BlöcherMaximilian HendelSimon AlthoffSebastian SchriegelJürgen Jasperneite","2022","http://link.springer.com/chapter/10.1007/978-3-662-64283-2_11","Chapter"
"Reaching Consensus for SDN Multi-controller Networks","Human Centered Computing","","","","10.1007/978-3-030-37429-7_44","Yun WangLiuhe Tian","2019","http://link.springer.com/chapter/10.1007/978-3-030-37429-7_44","Chapter"
"An Intelligent ML-Based IDS Framework for DDoS Detection in the SDN Environment","Advances in Mobile Computing and Multimedia Intelligence","","","","10.1007/978-3-031-20436-4_2","Ameni ChetouaneKamel KarouiGhayth Nemri","2022","http://link.springer.com/chapter/10.1007/978-3-031-20436-4_2","Chapter"
"Logical Network Separation and Update Inducing Techniques of Non-updated Vaccine Host by Creating Flow Rule in SDN","Innovative Mobile and Internet Services in Ubiquitous Computing","","","","10.1007/978-3-030-50399-4_42","Dohyeon BakMintae KimJonghoon LimRaeseung JangWonyoung JangSun-Young Lee","2021","http://link.springer.com/chapter/10.1007/978-3-030-50399-4_42","Chapter"
"Toward Resilient Smart Grid Communications Using Distributed SDN with ML-Based Anomaly Detection","Wired/Wireless Internet Communications","","","","10.1007/978-3-030-02931-9_7","Allen StarkeJanise McNairRodrigo TrevizanArturo BretasJoshua PeeplesAlina Zare","2018","http://link.springer.com/chapter/10.1007/978-3-030-02931-9_7","Chapter"
"Enabling M2M Communication Through MEC and SDN","Distributed Computer and Communication Networks","","","","10.1007/978-3-319-99447-5_9","Ammar MuthannaAbdukodir KhakimovAbdelhamied A. AteyaAlexander ParamonovAndrey Koucheryavy","2018","http://link.springer.com/chapter/10.1007/978-3-319-99447-5_9","Chapter"
"Research on Network Policy Combination and Conflict Detection in SDN","Testbeds and Research Infrastructures for the Development of Networks and Communities","","","","10.1007/978-3-319-49580-4_3","Bohan HeLigang DongTijie XuShuocheng FeiHuafei ZhangWeiming Wang","2017","http://link.springer.com/chapter/10.1007/978-3-319-49580-4_3","Chapter"
"A Fuzzy-Based System for Assessment of Quality of Service Communication Links in SDN-VANETs","Advances on Broad-Band Wireless Computing, Communication and Applications","","","","10.1007/978-3-030-90072-4_12","Ermioni QafzeziKevin BylykbashiPhudit AmpriritMakoto IkedaKeita MatsuoLeonard Barolli","2022","http://link.springer.com/chapter/10.1007/978-3-030-90072-4_12","Chapter"
"MACCA: A SDN Based Collaborative Classification Algorithm for QoS Guaranteed Transmission on IoT","Advanced Data Mining and Applications","","","","10.1007/978-3-030-35231-8_60","Weifeng SunZun WangGuanghao ZhangBoxiang Dong","2019","http://link.springer.com/chapter/10.1007/978-3-030-35231-8_60","Chapter"
"Scalable and Reliable Orchestration for Balancing the Workload Among SDN Controllers","Proceedings of International Conference on Information Technology and Applications","","","","10.1007/978-981-19-9331-2_40","José Moura","2023","http://link.springer.com/chapter/10.1007/978-981-19-9331-2_40","Chapter"
"Integrating Machine Learning Approaches in SDN for Effective Traffic Prediction Using Correlation Analysis","Emerging Technologies in Computer Engineering: Cognitive Computing and Intelligent IoT","","","","10.1007/978-3-031-07012-9_51","Bhuvaneswari BalachanderManivel KandasamyVenkata Harshavardhan Reddy DornadulaMahesh NirmalJoel Alanya-Beltran","2022","http://link.springer.com/chapter/10.1007/978-3-031-07012-9_51","Chapter"
"An Intelligent Approach for Resource Management in SDN-VANETs Using Fuzzy Logic","Advances on Broad-Band Wireless Computing, Communication and Applications","","","","10.1007/978-3-030-33506-9_68","Ermioni QafzeziKevin BylykbashiEvjola SpahoLeonard Barolli","2020","http://link.springer.com/chapter/10.1007/978-3-030-33506-9_68","Chapter"
"Estimating the Flow Rule Installation Time of SDN Switches When Facing Control Plane Delay","Measurement, Modelling and Evaluation of Computing Systems","","","","10.1007/978-3-319-74947-1_8","Anh Nguyen-NgocStanislav LangeStefan GeisslerThomas ZinnerPhuoc Tran-Gia","2018","http://link.springer.com/chapter/10.1007/978-3-319-74947-1_8","Chapter"
"A Comparison Study of Two Fuzzy-based Systems for Assessment of Fog Computing Resources in SDN-VANETs","Advances on P2P, Parallel, Grid, Cloud and Internet Computing","","","","10.1007/978-3-031-19945-5_9","Ermioni QafzeziKevin BylykbashiAdmir BarolliMakoto IkedaKeita MatsuoLeonard Barolli","2023","http://link.springer.com/chapter/10.1007/978-3-031-19945-5_9","Chapter"
"Delay-Bandwidth Optimization Method Based on Ant Colony Algorithm Applied to Transport Network Using SDN Paradigm","Mobile, Secure, and Programmable Networking","","","","10.1007/978-3-030-22885-9_3","Mounir AziziRedouane BenainiMouad Ben Mamoun","2019","http://link.springer.com/chapter/10.1007/978-3-030-22885-9_3","Chapter"
"Towards Trusted Security Context Exchange Protocol for SDN Based Low Latency Networks","Computer Safety, Reliability, and Security","","","","10.1007/978-3-030-26601-1_20","Abdul GhafoorA. Qudus AbbasiZaheer Khan","2019","http://link.springer.com/chapter/10.1007/978-3-030-26601-1_20","Chapter"
"A Scalable and Reliable Model for the Placement of Controllers in SDN Networks","Broadband Communications, Networks, and Systems","","","","10.1007/978-3-030-05195-2_8","Mohammad AshrafiNoélia CorreiaFaroq AL-Tam","2019","http://link.springer.com/chapter/10.1007/978-3-030-05195-2_8","Chapter"
"SD-OVS: SYN Flooding Attack Defending Open vSwitch for SDN","Information Security Applications","","","","10.1007/978-3-319-56549-1_3","Xinyu LiuBeumjin ChoJong Kim","2017","http://link.springer.com/chapter/10.1007/978-3-319-56549-1_3","Chapter"
"Designing and Prototyping of SDN Switch for Application-Driven Approach","Advanced Information Networking and Applications","","","","10.1007/978-3-030-99587-4_55","Diego Nunes MolinosRomerson Deiny OliveiraMarcelo Silva FreitasNatal Vieira de Souza NetoMarcelo Barros de AlmeidaFlávio de Oliveira SilvaPedro Frosi Rosa","2022","http://link.springer.com/chapter/10.1007/978-3-030-99587-4_55","Chapter"
"SDN-GAN: Generative Adversarial Deep NNs for Synthesizing Cyber Attacks on Software Defined Networks","On the Move to Meaningful Internet Systems: OTM 2019 Workshops","","","","10.1007/978-3-030-40907-4_23","Ahmed AlEroudGeorge Karabatis","2020","http://link.springer.com/chapter/10.1007/978-3-030-40907-4_23","Chapter"
"An Effective Load Balance Using Link Bandwidth for SDN-Based Data Centers","Artificial Intelligence and Security","","","","10.1007/978-3-030-24268-8_24","Xiaosen ZengDongbin WangShuwen HanWenbin YaoZhao WangRui Chen","2019","http://link.springer.com/chapter/10.1007/978-3-030-24268-8_24","Chapter"
"IoTManager: Concerns-Based SDN Management Framework for IoT Networks","Intelligent Systems and Applications","","","","10.1007/978-3-030-55190-2_12","Radwa HamedMohamed RizkBassem Mokhtar","2021","http://link.springer.com/chapter/10.1007/978-3-030-55190-2_12","Chapter"
"SDN-Based Secure VANETs Communication with Fog Computing","Security, Privacy, and Anonymity in Computation, Communication, and Storage","","","","10.1007/978-3-030-05345-1_4","Muhammad ArifGuojun WangTian WangTao Peng","2018","http://link.springer.com/chapter/10.1007/978-3-030-05345-1_4","Chapter"
"Significant Simulation Parameters for RESTART/LRE Method in Teletraffic Systems of SDN","Reliability and Statistics in Transportation and Communication","","","","10.1007/978-3-030-12450-2_25","Elena IvanovaTeodor IlievGrigor MihaylovVentsislav KeseevIvaylo Stoyanov","2019","http://link.springer.com/chapter/10.1007/978-3-030-12450-2_25","Chapter"
"Self-optimization and Resource-Utilization SDN Framework for QoS based HetNets","Proceedings of Integrated Intelligence Enable Networks and Computing","","","","10.1007/978-981-33-6307-6_1","Anita Sethi","2021","http://link.springer.com/chapter/10.1007/978-981-33-6307-6_1","Chapter"
"SDN Load Prediction Algorithm Based on Artificial Intelligence","Distributed Computer and Communication Networks","","","","10.1007/978-3-030-36625-4_3","Artem VolkovKonstantin ProshutinskiyAbuzar B. M. AdamAbdelhamied A. AteyaAmmar MuthannaAndrey Koucheryavy","2019","http://link.springer.com/chapter/10.1007/978-3-030-36625-4_3","Chapter"
"SDN Approach to Control Internet of Thing Medical Applications Traffic","Distributed Computer and Communication Networks","","","","10.1007/978-3-319-66836-9_39","Artem VolkovAmmar MuhathannaRustam PirmagomedovRuslan Kirichek","2017","http://link.springer.com/chapter/10.1007/978-3-319-66836-9_39","Chapter"
"Assessment of Available Edge Computing Resources in SDN-VANETs by a Fuzzy-Based System Considering Trustworthiness as a New Parameter","Advances on P2P, Parallel, Grid, Cloud and Internet Computing","","","","10.1007/978-3-030-61105-7_11","Ermioni QafzeziKevin BylykbashiPhudit AmpriritMakoto IkedaLeonard BarolliMakoto Takizawa","2021","http://link.springer.com/chapter/10.1007/978-3-030-61105-7_11","Chapter"
"A QoS-Aware Fuzzy-Based System for Assessment of Edge Computing Resources in SDN-VANETs","Advanced Information Networking and Applications","","","","10.1007/978-3-030-75100-5_6","Ermioni QafzeziKevin BylykbashiPhudit AmpriritMakoto IkedaKeita MatsuoLeonard Barolli","2021","http://link.springer.com/chapter/10.1007/978-3-030-75100-5_6","Chapter"
"Flow-Based Detection and Mitigation of Low-Rate DDOS Attack in SDN Environment Using Machine Learning Techniques","IoT and Analytics for Sensor Networks","","","","10.1007/978-981-16-2919-8_18","K. Muthamil SudarP. Deepalakshmi","2022","http://link.springer.com/chapter/10.1007/978-981-16-2919-8_18","Chapter"
